time,cpu0,cpu1,cpu2,cpu3,mem,disk_read,disk_write,net_recv,net_write
2016-10-03 17:12:46,0.0,5.9,3.9,2.0,52.4,0,0,0,0
2016-10-03 17:12:47,0.0,2.0,0.0,0.0,52.4,0,0,186,0
2016-10-03 17:12:48,5.8,0.0,0.0,2.0,52.4,0,0,0,0
